pmid,passage_id,entity_type,entity_text,offset,length,matched_anywhere,matched_same_sentence
39098920,39098920_6,cell_phenotype,tanycyte,14,8,1,0
39098920,39098920_6,cell_vague,tanycyte subtypes,233,17,0,0
39098920,39098920_6,cell_phenotype,tanycyte,233,8,1,0
39098920,39098920_6,cell_phenotype,tanycytes,406,9,1,0
39098920,39098920_6,cell_phenotype,tanycytes,651,9,1,1
39098920,39098920_6,cell_phenotype,ependymal cells,263,15,1,1
37751468,37751468_50,cell_phenotype,D1- or D2-SPNs,101,14,0,0
37751468,37751468_50,cell_phenotype,D1-/D2-SPNs,210,11,0,0
37751468,37751468_50,cell_phenotype,D1-SPNs,331,7,1,0
37751468,37751468_50,cell_phenotype,D1-SPNs,491,7,1,0
37751468,37751468_50,cell_phenotype,D2-SPNs,650,7,1,1
37751468,37751468_50,cell_phenotype,D2-SPNs,808,7,1,0
35788904,35788904_83,cell_phenotype,epithelial cell,234,15,0,0
35788904,35788904_83,cell_phenotype,neutrophil,460,10,0,0
35788904,35788904_83,cell_phenotype,macrophage,581,10,1,0
35788904,35788904_83,cell_hetero,immune cells,800,12,1,1
35788904,35788904_83,cell_phenotype,leukocyte,511,9,0,0
38092912,38092912_34,cell_phenotype,Oligodendrocytes,0,16,1,1
38092912,38092912_34,cell_phenotype,OPCs,111,4,1,1
38092912,38092912_34,cell_phenotype,oligodendrocytes,201,16,1,1
38092912,38092912_34,cell_phenotype,OPCs,222,4,1,1
38017066,38017066_1,cell_phenotype,pluripotent stem cell,240,21,0,0
38017066,38017066_1,cell_phenotype,astrocytes,290,10,1,1
38017066,38017066_1,cell_phenotype,neurons,278,7,1,0
38017066,38017066_1,cell_phenotype,neurons,660,7,1,0
36333772,36333772_74,cell_phenotype,microglia,419,9,1,1
36333772,36333772_74,cell_phenotype,B cells,433,7,1,1
36333772,36333772_74,cell_hetero,immune cells,465,12,1,1
36333772,36333772_74,cell_hetero,immune cells,629,12,1,0
34616064,34616064_21,cell_phenotype,chandelier and basket interneuron,93,33,0,0
34616064,34616064_21,cell_vague,chandelier and basket interneuron types,93,39,0,0
34616064,34616064_21,cell_phenotype,basket and stellate interneurons,410,32,0,0
34616064,34616064_21,cell_vague,interneuron types,546,17,0,0
34616064,34616064_21,cell_phenotype,interneuron,546,11,1,0
34616064,34616064_21,cell_phenotype,principal cells,237,15,1,1
33654118,33654118_27,cell_phenotype,GABAergic cells,130,15,1,1
33654118,33654118_27,cell_vague,subtypes of inhibitory or excitatory cells,383,42,0,0
33654118,33654118_27,cell_hetero,inhibitory or excitatory cells,395,30,0,0
33654118,33654118_27,cell_phenotype,parvalbumin-expressing cells,547,28,0,0
33654118,33654118_27,cell_vague,subtype of GABAergic neuron in the neocortex,595,44,0,0
33654118,33654118_27,cell_phenotype,GABAergic neuron,606,16,1,1
33654118,33654118_27,cell_phenotype,proenkephalin-expressing (penk) cells,645,37,1,1
33654118,33654118_27,cell_vague,subtype of excitatory cell present in L2/3 and L6,686,49,0,0
33654118,33654118_27,cell_phenotype,excitatory cell,697,15,1,1
33654118,33654118_27,cell_vague,excitatory and inhibitory populations,936,37,0,0
33654118,33654118_27,cell_phenotype,excitatory and inhibitory,936,25,0,0
32193397,32193397_26,cell_hetero,non-VIPin cells,31,15,0,0
32193397,32193397_26,cell_hetero,non-VIP cells,385,13,1,0
32193397,32193397_26,cell_hetero,non-VIPin cells,574,15,0,0
32193397,32193397_26,cell_hetero,non-VIPin cells,746,15,0,0
32193397,32193397_26,cell_phenotype,VIPin cells,352,11,0,0
32193397,32193397_26,cell_phenotype,VIPin cells,879,11,0,0
36451046,36451046_4,cell_phenotype,pituitary,34,9,1,1
36451046,36451046_4,cell_hetero,Hormone-producing cells,227,23,1,0
36451046,36451046_4,cell_phenotype,resident stem cells,252,19,0,0
36451046,36451046_4,cell_hetero,non-hormonal support cells,276,26,0,0
36451046,36451046_4,cell_phenotype,endothelia,311,10,0,0
36451046,36451046_4,cell_phenotype,connective tissue,326,17,1,0
36451046,36451046_4,cell_phenotype,Melanotrophs,369,12,1,0
36451046,36451046_4,cell_phenotype,Lactotrophs,441,11,1,0
36451046,36451046_4,cell_phenotype,Somatotrophs,460,12,1,0
36451046,36451046_4,cell_phenotype,Thyrotrophs,479,11,1,0
36451046,36451046_4,cell_phenotype,Gonadotrophs,498,12,1,0
36451046,36451046_4,cell_phenotype,Corticotrophs,524,13,1,0
36451046,36451046_4,cell_phenotype,Stem cells,590,10,1,0
33664709,33664709_42,cell_vague,AP population,1017,13,0,0
33664709,33664709_42,cell_vague,AP cell types,1246,13,1,1
33664709,33664709_42,cell_hetero,AP cells,428,8,1,1
33664709,33664709_42,cell_hetero,AP,916,2,1,0
33664709,33664709_42,cell_hetero,AP,1017,2,1,0
33664709,33664709_42,cell_hetero,AP cell,1246,7,1,0
32193873,32193873_16,cell_phenotype,melanotropes,195,12,1,1
32193873,32193873_16,cell_phenotype,Mel,210,3,0,0
32193873,32193873_16,cell_phenotype,melanotrope,344,11,1,0
32193873,32193873_16,cell_vague,corticotrope cell cluster,490,25,0,0
32193873,32193873_16,cell_phenotype,corticotrope cell,490,17,0,0
32193873,32193873_16,cell_phenotype,Cort,518,4,0,0
32193873,32193873_16,cell_phenotype,melanotrope,554,11,1,0
32193873,32193873_16,cell_vague,melanotrope cluster,554,19,0,0
32193873,32193873_16,cell_phenotype,gonadotropes,766,12,1,1
32193873,32193873_16,cell_vague,'Gona' cluster,780,14,0,0
32193873,32193873_16,cell_phenotype,Gona,781,4,0,0
32193873,32193873_16,cell_phenotype,gonadotrope,847,11,1,0
32193873,32193873_16,cell_phenotype,gonadotrope,924,11,1,0
32193873,32193873_16,cell_phenotype,melanotropes,1250,12,1,0
32193873,32193873_16,cell_phenotype,corticotropes,1264,13,1,0
32193873,32193873_16,cell_phenotype,gonadotropes,1283,12,1,0
36057681,36057681_46,cell_hetero,excitatory interneurons,46,23,1,1
36057681,36057681_46,cell_phenotype,spinal projection neurons,123,25,1,1
36057681,36057681_46,cell_phenotype,SPB neurons,265,11,1,1
36057681,36057681_46,cell_phenotype,SPB neurons,390,11,1,0
36057681,36057681_46,cell_phenotype,wide-dynamic range (WDR),492,24,1,1
36057681,36057681_46,cell_phenotype,high threshold (HT),518,19,1,1
36057681,36057681_46,cell_phenotype,low threshold (LT),542,18,1,1
36057681,36057681_46,cell_phenotype,HT and WDR SPB,627,14,0,0
36057681,36057681_46,cell_phenotype,WDR,744,3,0,0
36057681,36057681_46,cell_phenotype,HT SPB neurons,760,14,1,0
36057681,36057681_46,cell_phenotype,WDR cells,856,9,1,1
36057681,36057681_46,cell_phenotype,LT (40%) or HT (0%) SPB neurons,945,31,0,0
36057681,36057681_46,cell_phenotype,SPB neurons,1011,11,1,0
36057681,36057681_46,cell_phenotype,WDR cells,1028,9,1,1
36057681,36057681_46,cell_phenotype,WDR SPB neurons,1251,15,1,1
36057681,36057681_46,cell_phenotype,HT SPB neurons,1297,14,1,1
37414552,37414552_8,cell_phenotype,D1-medium spiny neurons,5,23,0,0
37414552,37414552_8,cell_phenotype,MSNs,30,4,0,0
37414552,37414552_8,cell_phenotype,D2-MSNs,40,7,1,1
37414552,37414552_8,cell_phenotype,D1-MSN,196,6,1,0
37414552,37414552_8,cell_phenotype,D2-MSN,231,6,1,0
37414552,37414552_8,cell_phenotype,D1-MSNs,450,7,1,1
37414552,37414552_8,cell_phenotype,D2-MSNs,463,7,1,0
37414552,37414552_8,cell_phenotype,VPGlutamate cells,492,17,1,1
37414552,37414552_8,cell_vague,VP neuronal subpopulations,612,26,0,0
37414552,37414552_8,cell_phenotype,VP neuronal,612,11,0,0
37414552,37414552_8,cell_phenotype,D1-MSN,750,6,1,0
37414552,37414552_8,cell_phenotype,D2-MSN,761,6,1,0
37085502,37085502_5,cell_phenotype,NAc medium spiny projection neurons,303,35,1,1
37085502,37085502_5,cell_phenotype,MSN,340,3,1,1
37085502,37085502_5,cell_phenotype,neuron,356,6,0,0
37085502,37085502_5,cell_vague,neuron type,356,11,0,0
37085502,37085502_5,cell_phenotype,dopamine D1 receptor-expressing MSNs,443,36,0,0
37085502,37085502_5,cell_phenotype,D1-MSN,481,6,1,1
37085502,37085502_5,cell_phenotype,dopamine D2 receptor-expressing MSNs,593,36,0,0
37085502,37085502_5,cell_phenotype,D2-MSN,631,6,1,1
37085502,37085502_5,cell_phenotype,NAc D1-MSNs,718,11,1,0
