Timestamp,Provider / Model,App,System,Input Tokens,Output Tokens,Cost ($),Speed (tps),Finish
"Jun 27, 11:49 PM",Favicon for Novita,DeepSeek V3 0324,liteLLM,2965,2938,0.0048,72.1,stop
"Jun 27, 11:49 PM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,14138,803,0.00467,20.8,stop
"Jun 27, 11:48 PM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,58760,2935,0.019,10.6,stop
"Jun 27, 11:42 PM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,2730,2706,0.00315,24.9,stop
"Jun 27, 11:40 PM",Favicon for GMICloud,DeepSeek V3 0324,liteLLM,8566,889,0.00714,120.5,stop
"Jun 27, 11:40 PM",Favicon for Novita,DeepSeek V3 0324,liteLLM,45999,2700,0.0187,128.3,stop
"Jun 27, 11:40 PM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,2285,2261,0.00263,26.2,stop
"Jun 27, 11:38 PM",Favicon for Nebius,DeepSeek V3 0324,liteLLM,2288,2459,0.00483,23.8,stop
"Jun 27, 11:37 PM",Favicon for Crusoe,DeepSeek V3 0324,liteLLM,5871,721,0.00247,27.2,stop
"Jun 27, 11:36 PM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,16254,2256,0.00654,22.1,stop
"Jun 27, 11:34 PM",Favicon for BaseTen,DeepSeek V3 0324,liteLLM,2248,2221,0.00344,156.2,stop
"Jun 27, 11:34 PM",Favicon for Lambda,DeepSeek V3 0324,liteLLM,38090,807,0.0137,27.6,stop
"Jun 27, 11:34 PM",Favicon for Crusoe,DeepSeek V3 0324,liteLLM,71866,2218,0.0227,18.3,stop
"Jun 27, 11:30 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,19203,18822,0.34,75.0,tool_calls
"Jun 27, 11:25 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,84710,677,0.264,58.4,tool_calls
"Jun 27, 11:25 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,133687,18817,0.683,81.8,stop
"Jun 27, 11:20 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,17648,17270,0.312,82.3,tool_calls
"Jun 27, 11:16 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,44622,705,0.144,119.6,tool_calls
"Jun 27, 11:16 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,43731,717,0.142,61.4,tool_calls
"Jun 27, 11:16 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,54832,17328,0.424,82.0,stop
"Jun 27, 11:12 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,12626,12250,0.222,80.2,tool_calls
"Jun 27, 11:09 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,24951,882,0.0881,59.8,tool_calls
"Jun 27, 11:09 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,44255,12293,0.317,79.0,stop
"Jun 27, 11:06 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,11739,11063,0.201,75.1,tool_calls
"Jun 27, 11:04 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,53924,1105,0.178,64.9,tool_calls
"Jun 27, 11:03 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,84326,11344,0.423,81.3,stop
"Jun 27, 11:01 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,84220,8159,0.375,81.7,stop
"Jun 27, 10:59 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,84114,9869,0.4,80.5,stop
