Timestamp,Provider,Model,App,Input Tokens,Output Tokens,Cost ($),Speed (tps),Finish
"Jun 26, 05:07 PM",Favicon for InferenceNet,DeepSeek V3 0324,liteLLM,2925,409,0.00191,28.3,tps
"Jun 26, 05:06 PM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,1932,1076,0.00149,17.9,tps
"Jun 26, 05:03 PM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,614,665,0.000757,20.2,tps
"Jun 26, 05:03 PM",Favicon for Nebius,DeepSeek V3 0324,liteLLM,617,87,0.000439,27.3,tps
"Jun 26, 05:03 PM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,6848,313,0.00219,16.4,tps
"Jun 26, 05:02 PM",Favicon for Lambda,DeepSeek V3 0324,liteLLM,6361,587,0.00268,29.6,tps
"Jun 26, 05:02 PM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,6276,7397,0.00827,17.5,tps
"Jun 26, 04:47 PM",Favicon for InferenceNet,DeepSeek V3 0324,liteLLM,11140,353,0.00552,28.9,tps
"Jun 26, 04:47 PM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,4994,6248,0.0069,27.9,tps
"Jun 26, 04:43 PM",Favicon for Crusoe,DeepSeek V3 0324,liteLLM,6218,376,0.00217,23.7,tps
"Jun 26, 04:43 PM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,1766,4797,0.00472,22.9,tps
"Jun 26, 04:35 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,7385,6995,0.127,95.2,tps
"Jun 26, 04:33 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,14726,415,0.0504,59.6,tps
"Jun 26, 04:33 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,7244,6987,0.127,95.5,tps
"Jun 26, 04:32 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,12851,489,0.0459,66.8,tps
"Jun 26, 04:32 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,5074,7283,0.124,97.2,tps
"Jun 26, 04:31 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,6777,565,0.0288,67.0,tps
"Jun 26, 04:30 PM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,1781,4621,0.0747,95.2,tps
"Jun 26, 02:32 PM",Favicon for OpenAI,GPT-4o-mini,liteLLM,11202,243,0.00183,42.4,tps
"Jun 26, 02:32 PM",Favicon for OpenAI,GPT-4o-mini,liteLLM,4997,6305,0.00453,83.7,tps
"Jun 26, 02:30 PM",Favicon for OpenAI,GPT-4o-mini,liteLLM,9936,345,0.000958,59.5,tps
"Jun 26, 02:30 PM",Favicon for OpenAI,GPT-4o-mini,liteLLM,9936,297,0.00167,78.5,tps
"Jun 26, 02:30 PM",Favicon for OpenAI,GPT-4o-mini,liteLLM,3871,6169,0.00428,62.2,tps
