Timestamp,Provider,Model,App,Input Tokens,Output Tokens,Cost ($),Speed (tps),Finish
"Jun 27, 01:24 PM",Nebius,DeepSeek V3 0324,liteLLM,4009,424,0.00264,18.2,stop
"Jun 27, 01:24 PM",Lambda,DeepSeek V3 0324,liteLLM,5181,583,0.00227,20.3,stop
"Jun 27, 01:22 PM",DeepInfra,DeepSeek V3 0324,liteLLM,2522,392,0.00105,21.9,stop
"Jun 27, 01:22 PM",DeepInfra,DeepSeek V3 0324,liteLLM,2922,506,0.00126,24.8,stop
"Jun 27, 01:22 PM",Novita,DeepSeek V3 0324,liteLLM,1570,538,0.00122,83.4,stop
"Jun 27, 01:22 PM",Lambda,DeepSeek V3 0324,liteLLM,1242,495,0.000858,32.3,stop
"Jun 27, 01:21 PM",Crusoe,DeepSeek V3 0324,liteLLM,59280,289,0.0169,20.9,stop
"Jun 27, 01:20 PM",Phala,DeepSeek V3 0324,liteLLM,59644,268,0.0468,22.4,stop
"Jun 27, 01:19 PM",Google,Claude 3.7 Sonnet,liteLLM,8200,586,0.0334,73.0,tool_calls
"Jun 27, 01:19 PM",Google,Claude 3.7 Sonnet,liteLLM,10200,1037,0.0462,62.2,stop
"Jun 27, 01:18 PM",Google,Claude 3.7 Sonnet,liteLLM,4732,454,0.021,61.7,tool_calls
"Jun 27, 01:18 PM",Google,Claude 3.7 Sonnet,liteLLM,4615,986,0.0286,65.9,stop
"Jun 27, 01:17 PM",Google,Claude 3.7 Sonnet,liteLLM,3053,447,0.0159,63.8,tool_calls
"Jun 27, 01:17 PM",Google,Claude 3.7 Sonnet,liteLLM,1740,886,0.0185,64.4,stop
"Jun 27, 01:17 PM",Google,Claude 3.7 Sonnet,liteLLM,837,443,0.00916,106.4,tool_calls
"Jun 27, 01:17 PM",Google,Claude 3.7 Sonnet,liteLLM,68694,562,0.215,76.2,tool_calls
"Jun 27, 01:17 PM",Google,Claude 3.7 Sonnet,liteLLM,68374,440,0.212,56.5,stop
"Jun 27, 01:16 PM",OpenAI,GPT-4o-mini,liteLLM,1042,1004,0.000759,68.4,stop
"Jun 27, 01:15 PM",OpenAI,GPT-4o-mini,liteLLM,4580,389,0.00092,77.3,stop
"Jun 27, 01:15 PM",OpenAI,GPT-4o-mini,liteLLM,5538,1006,0.00143,42.7,stop
"Jun 27, 01:15 PM",OpenAI,GPT-4o-mini,liteLLM,5441,517,0.00113,35.0,stop
"Jun 27, 01:14 PM",OpenAI,GPT-4o-mini,liteLLM,2584,447,0.000656,72.3,stop
"Jun 27, 01:14 PM",OpenAI,GPT-4o-mini,liteLLM,3042,502,0.000758,66.9,stop
"Jun 27, 01:14 PM",OpenAI,GPT-4o-mini,liteLLM,1582,561,0.000574,69.0,stop
"Jun 27, 01:13 PM",OpenAI,GPT-4o-mini,liteLLM,1234,510,0.000491,47.1,stop
"Jun 27, 01:13 PM",OpenAI,GPT-4o-mini,liteLLM,59037,435,0.00912,34.6,stop
"Jun 27, 01:13 PM",OpenAI,GPT-4o-mini,liteLLM,59381,283,0.00908,66.8,stop
