Timestamp,Provider / Model,Model,App,Tokens,Output Tokens,Cost,Speed,Finish
"Jun 27, 11:42 AM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,2125,446,0.000987,20.3,stop
"Jun 27, 11:42 AM",Favicon for Together,DeepSeek V3 0324,liteLLM,2478,376,0.00357,157.7,stop
"Jun 27, 11:42 AM",Favicon for Lambda,DeepSeek V3 0324,liteLLM,1466,292,0.000755,28.1,stop
"Jun 27, 11:41 AM",Favicon for DeepInfra,DeepSeek V3 0324,liteLLM,1267,365,0.000676,21.9,stop
"Jun 27, 11:41 AM",Favicon for Novita,DeepSeek V3 0324,liteLLM,15154,310,0.0054,25.4,stop
"Jun 27, 11:41 AM",Favicon for Atoma,DeepSeek V3 0324,liteLLM,15574,281,0.00549,16.4,stop
"Jun 27, 11:39 AM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,3512,399,0.0165,70.1,tool_calls
"Jun 27, 11:39 AM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,3161,638,0.0191,63.6,stop
"Jun 27, 11:39 AM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,2495,454,0.0143,75.1,tool_calls
"Jun 27, 11:38 AM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,1621,447,0.0116,58.5,stop
"Jun 27, 11:38 AM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,706,330,0.00707,136.6,tool_calls
"Jun 27, 11:38 AM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,18433,509,0.0629,71.2,tool_calls
"Jun 27, 11:38 AM",Favicon for Google,Claude 3.7 Sonnet,liteLLM,18241,331,0.0597,52.8,stop
"Jun 27, 11:36 AM",Favicon for OpenAI,GPT-4o-mini,liteLLM,1769,269,0.000427,56.4,stop
"Jun 27, 11:36 AM",Favicon for OpenAI,GPT-4o-mini,liteLLM,2068,271,0.000473,63.3,stop
"Jun 27, 11:36 AM",Favicon for OpenAI,GPT-4o-mini,liteLLM,1261,471,0.000472,36.7,stop
"Jun 27, 11:36 AM",Favicon for OpenAI,GPT-4o-mini,liteLLM,1159,264,0.000332,44.1,stop
"Jun 27, 11:36 AM",Favicon for OpenAI,GPT-4o-mini,liteLLM,15118,197,0.00239,55.4,stop
"Jun 27, 11:36 AM",Favicon for OpenAI,GPT-4o-mini,liteLLM,15560,193,0.00245,77.1,stop
